分段ID,x,y,分段长/m,分段宽/m,当前工艺阶段,当前在场时间,出场时间,预处理周期,预舾装周期,涂装周期,总组周期,时间余量
A033,0,75,15,9,1,2024/4/25,2024/4/28,3,4,5,7,-1
A034,0,91,16,11,1,2024/4/25,2024/4/29,4,3,4,6,4
A035,0,126,18,8,1,2024/4/25,2024/4/28,3,5,5,5,3
A036,0,21,11,8,1,2024/4/25,2024/4/27,2,4,4,7,4
A037,0,145,19,10,1,2024/4/25,2024/4/28,3,5,3,6,3
A038,0,46,13,7,1,2024/4/25,2024/4/28,3,6,5,8,-2
A039,0,21,11,7,1,2024/4/25,2024/4/29,4,5,4,5,3
A040,0,33,12,7,1,2024/4/25,2024/4/29,4,6,3,7,-1
A041,0,46,13,11,1,2024/4/25,2024/4/30,5,5,7,6,-2
A042,0,91,16,8,1,2024/4/25,2024/4/30,5,6,3,5,2
A043,0,165,20,9,1,2024/4/25,2024/4/28,3,5,4,4,3
A044,0,21,11,9,1,2024/4/25,2024/4/30,5,4,5,5,3
A045,0,91,16,10,1,2024/4/25,2024/4/27,2,7,6,6,-2
A046,0,126,18,10,1,2024/4/25,2024/5/1,6,6,4,7,-3
A047,0,145,19,11,1,2024/4/25,2024/4/28,3,8,4,8,2
A048,0,108,17,11,1,2024/4/25,2024/4/27,2,7,3,6,3
A049,0,145,19,11,1,2024/4/25,2024/4/28,3,6,5,5,4
A050,0,126,18,7,1,2024/4/25,2024/4/29,4,7,6,6,-1
A051,0,91,16,11,1,2024/4/25,2024/4/26,1,6,4,6,3
A052,0,75,15,9,1,2024/4/25,2024/5/1,5,9,2,4,2
A053,0,60,14,8,1,2024/4/25,2024/4/28,3,7,6,6,-1
A054,0,145,19,9,1,2024/4/25,2024/4/27,2,6,4,6,3
A055,0,21,11,9,1,2024/4/25,2024/4/28,3,5,6,7,-1
A056,0,75,15,12,1,2024/4/25,2024/4/29,4,4,4,8,1
A057,0,75,15,10,1,2024/4/25,2024/4/29,4,6,3,5,2
A058,0,46,13,10,1,2024/4/25,2024/4/27,2,7,2,4,5
A059,0,145,19,11,1,2024/4/25,2024/4/28,3,6,6,6,2
A060,0,108,17,9,1,2024/4/25,2024/4/26,1,8,4,7,-1
A061,0,46,13,11,1,2024/4/25,2024/4/26,1,7,6,5,2
A062,0,91,16,10,1,2024/4/25,2024/4/28,3,9,5,2,3
A063,0,75,15,12,1,2024/4/25,2024/4/29,4,6,4,5,2
A064,0,165,20,12,1,2024/4/25,2024/4/28,3,7,4,7,-1
A065,0,75,15,9,1,2024/4/25,2024/4/27,2,8,3,5,3
A066,0,60,14,9,1,2024/4/25,2024/4/29,4,5,5,4,2
A067,0,91,16,7,1,2024/4/25,2024/4/26,1,4,4,7,4
A068,0,10,10,10,1,2024/4/25,2024/4/28,3,8,6,5,-2
A069,0,46,13,8,1,2024/4/25,2024/4/30,5,6,4,6,-1
A070,0,33,12,11,1,2024/4/25,2024/4/27,2,5,6,8,2
T003,0,108,17,11,1,2024/4/25,2024/4/27,,,,,
T008,0,46,13,8,1,2024/4/25,2024/5/9,,,,,
T014,0,145,19,8,1,2024/4/25,2024/5/8,,,,,
T019,0,126,18,8,1,2024/4/25,2024/5/12,,,,,
T022,0,60,14,10,1,2024/4/25,2024/5/7,,,,,
T027,0,91,16,8,1,2024/4/25,2024/4/27,,,,,
T032,0,165,20,10,1,2024/4/25,2024/5/2,,,,,
T039,0,145,19,8,1,2024/4/25,2024/5/7,,,,,
T044,0,46,13,11,1,2024/4/25,2024/5/2,,,,,
T049,0,145,19,10,1,2024/4/25,2024/5/7,,,,,
T054,0,126,18,9,1,2024/4/25,2024/5/6,,,,,
T062,0,75,15,7,1,2024/4/25,2024/5/14,,,,,
T063,0,46,13,8,1,2024/4/25,2024/5/16,,,,,
T068,0,91,16,7,1,2024/4/25,2024/5/7,,,,,
T073,0,46,13,7,1,2024/4/25,2024/5/7,,,,,
T078,0,145,19,10,1,2024/4/25,2024/4/30,,,,,
T093,0,75,15,8,1,2024/4/25,2024/5/13,,,,,
T103,0,60,14,11,1,2024/4/25,2024/5/12,,,,,
T117,0,145,19,8,1,2024/4/25,2024/5/8,,,,,
